filter_id,Mg,Al,Si,S,K,Ca,Ti,Mn,Fe,Zn,BC,arm,fueltype
3M54178,0.1003,0.5512,0.2648,0.3926,0.7143,0.28,0.0111,0.0161,0.1733,0.0301,5.859372876,Control,Biomass
3M54179,0.0692,0.5101,0.0433,0.1644,0.2082,0.135,0.0184,0.0068,0.0798,0.0265,4.885810142,Intervention,LPG
3M54185,0.1134,0.6812,0.3826,0.3364,0.4191,0.3302,0.0184,0.0068,0.261,0.0031,6.601025653,Control,Biomass
3M54186,0.0782,0.5298,0.05,0.3821,0.7358,0.1225,0.023,0.0241,0.1326,0.0046,10.52857522,Control,Biomass
3M54196,0.0942,0.5736,0.2812,0.4038,0.7024,0.4294,0.0276,0.0214,0.1684,0.0228,8.136624589,Control,Biomass
3M54211,0.1072,0.8211,0.6613,0.4887,0.5503,0.38,0.0111,0.0268,0.259,0.01,8.978006545,Intervention,LPG
3M54217,0.0858,0.4904,0.1519,0.5218,0.637,0.1624,0.0415,0.0268,0.1614,0.0064,9.107711374,Control,Biomass
3M54223,0.0771,0.4829,0.2126,0.4779,0.456,0.1782,0.0111,0.0038,0.1782,0.0031,6.247838561,Intervention,LPG
3M54224,0.0561,0.0561,0.0897,0.4593,0.5413,0.1974,0.0254,0.0068,0.1655,0.0082,9.107711374,Control,Biomass
3M54234,0.1063,0.3598,0.0088,0.3726,0.2588,0.2506,0.0111,0.0173,0.0438,0.0046,2.674959717,Control,Biomass
3M54239,0.0745,0.4137,0.0568,0.4893,1.1151,0.1675,0.0111,0.0038,0.0946,0.0031,14.31808529,Control,Biomass
3M54243,0.134,0.4237,0.3026,0.6113,3.0839,0.3333,0.0111,0.0173,0.1087,0.0031,18.86550468,Control,Biomass
3M54244,0.053900000000000003,0.3822,0.0088,0.3711,0.1726,0.0296,0.023,0.0038,0.0389,0.0265,2.579840166,Intervention,LPG
3M54248,0.055,0.5141,0.0962,0.4442,0.3163,0.0979,0.0254,0.0038,0.1355,0.0413,5.361049851,Intervention,LPG
3M54257,0.1593,0.4876,0.4429,0.6421,2.3424,0.7674,0.0506,0.0535,0.3017,0.0031,15.76778465,Control,Biomass
3M54263,0.0594,0.4027,0.0088,0.1801,0.1958,0.0986,0.0111,0.0108,0.0689,0.0031,2.692797895,Intervention,LPG
3M54266,0.0628,0.4244,0.463,0.2403,0.4253,0.0466,0.0276,0.0173,0.0689,0.032,4.151767151,Intervention,LPG
3M54270,0.1191,1.3356,2.0511,0.3231,1.1467,0.2672,0.0603,0.0093,0.4222,0.0173,18.00484876,Control,Biomass
3M54276,0.0665,0.7263,0.4436,0.1757,0.2465,0.112,0.0111,0.0188,0.1614,0.0338,2.630476205,Intervention,LPG
