filter_id,pre_ATN,post_ATN
3M53905,3.43,42.17
3M53907,2.98,4.55
3M53909,1.02,8.20
3M53913,0.26,36.44
3M53921,0.91,30.14
3M53926,3.74,24.19
3M53927,2.21,15.23
3M53928,1.57,92.83
3M53929,2.79,10.60
3M53931,5.29,10.22
3M53936,0.66,58.51
3M53938,6.13,28.10
3M53940,4.82,14.85
3M53941,2.28,8.37
3M53951,1.89,8.08
3M53957,1.23,37.11
3M53958,1.54,8.43
3M53965,0.39,35.66
3M53967,3.50,40.55
3M53978,1.49,53.95
3M53981,1.84,12.05
3M53983,4.18,26.79
3M53991,2.41,26.73
3M53993,0.91,18.13
3M53997,4.49,47.81
3M54012,0.84,43.42
3M54018,0.95,32.17
3M54019,5.61,46.07
3M54026,2.47,60.19
3M54029,1.40,46.53
3M54030,9.96,79.72
3M54043,4.86,38.43
3M54049,3.37,27.87
3M54051,2.23,32.04
3M54054,0.55,50.45
3M54061,7.45,14.38
3M54090,5.67,52.85
3M54098,1.87,11.23
3M54107,7.63,35.11
3M54108,9.20,23.51
3M54111,8.83,22.84
3M54114,7.26,23.47
3M54121,6.64,53.55
3M54133,6.13,14.03
3M54138,3.00,14.83
3M54162,10.57,25.45
3M54165,8.48,23.46
3M54166,7.52,74.95
3M54169,9.91,14.36
3M54171,7.11,78.60
3M54178,4.35,29.62
3M54179,5.95,26.74
3M54185,6.32,36.93
3M54186,7.88,50.67
3M54196,8.99,41.89
3M54211,4.63,39.87
3M54217,11.30,50.73
3M54223,6.34,32.15
3M54224,9.22,45.49
3M54234,8.96,19.45
3M54239,6.77,61.90
3M54243,1.29,77.29
3M54244,11.08,22.83
3M54248,10.90,35.16
3M54257,10.44,75.23
3M54263,5.69,15.96
3M54266,1.02,20.44
3M54270,12.61,83.95
3M54276,5.15,16.45
,,
